datetime,price
2017-06-28 01:18:00,2514.51
2017-06-28 01:19:00,2329.5
2017-06-28 01:19:00,2514.5
2017-06-28 01:20:00,2333.31
2017-06-28 01:20:00,2514.47
2017-06-28 01:21:00,2330.0
2017-06-28 01:21:00,2509.29
2017-06-28 01:22:00,2330.0
2017-06-28 01:22:00,2514.47
2017-06-28 01:23:00,2330.0
2017-06-28 01:23:00,2526.6
2017-06-28 01:24:00,2334.0
2017-06-28 01:24:00,2521.68
2017-06-28 01:25:00,2334.0
2017-06-28 01:25:00,2516.05
2017-06-28 01:26:00,2332.8
2017-06-28 01:26:00,2517.93
2017-06-28 01:27:00,2333.6
2017-06-28 01:27:00,2514.47
2017-06-28 01:28:00,2330.92
2017-06-28 01:28:00,2509.19
2017-06-28 01:29:00,2329.5
2017-06-28 01:29:00,2507.23
2017-06-28 01:30:00,2325.01
2017-06-28 01:30:00,2514.18
2017-06-28 01:31:00,2329.15
2017-06-28 01:31:00,2514.18
2017-06-28 01:32:00,2329.0
2017-06-28 01:32:00,2528.19
2017-06-28 01:33:00,2328.99
2017-06-28 01:33:00,2514.5
2017-06-28 01:34:00,2327.99
2017-06-28 01:34:00,2511.19
2017-06-28 01:35:00,2318.24
2017-06-28 01:35:00,2504.16
2017-06-28 01:36:00,2318.0
2017-06-28 01:36:00,2510.61
2017-06-28 01:37:00,2316.41
2017-06-28 01:37:00,2510.0
2017-06-28 01:38:00,2315.35
2017-06-28 01:38:00,2509.74
2017-06-28 01:39:00,2310.0
2017-06-28 01:39:00,2509.74
2017-06-28 01:40:00,2312.45
2017-06-28 01:40:00,2504.16
2017-06-28 01:41:00,2309.33
2017-06-28 01:41:00,2501.0
2017-06-28 01:42:00,2299.99
2017-06-28 01:42:00,2501.0
2017-06-28 01:43:00,2291.0
2017-06-28 01:43:00,2501.01
2017-06-28 01:44:00,2301.88
2017-06-28 01:44:00,2500.01
2017-06-28 01:45:00,2299.0
2017-06-28 01:45:00,2500.01
2017-06-28 01:46:00,2299.0
2017-06-28 01:46:00,2505.82
2017-06-28 01:47:00,2298.0
2017-06-28 01:47:00,2507.23
2017-06-28 01:48:00,2300.0
2017-06-28 01:48:00,2507.23
2017-06-28 01:49:00,2294.32
2017-06-28 01:49:00,2507.23
2017-06-28 01:50:00,2300.0
2017-06-28 01:50:00,2478.27
2017-06-28 01:51:00,2300.0
2017-06-28 01:51:00,2498.99
2017-06-28 01:52:00,2315.7
2017-06-28 01:52:00,2498.73
2017-06-28 01:53:00,2327.0
2017-06-28 01:53:00,2530.3
2017-06-28 01:54:00,2328.22
2017-06-28 01:54:00,2524.17
2017-06-28 01:55:00,2329.99
2017-06-28 01:55:00,2525.48
2017-06-28 01:56:00,2333.0
2017-06-28 01:56:00,2529.73
2017-06-28 01:57:00,2333.29
2017-06-28 01:57:00,2531.63
2017-06-28 01:58:00,2333.0
2017-06-28 01:58:00,2536.56
2017-06-28 01:59:00,2333.01
2017-06-28 01:59:00,2536.12
2017-06-28 02:00:00,2344.0
2017-06-28 02:00:00,2536.24
2017-06-28 02:01:00,2346.15
2017-06-28 02:01:00,2546.48
